7,1,1
7,3,0
5,5,2
7,7,1
7,9,2
7,11,0
15,13,2
7,15,1
7,17,0
7,19,2
5,21,0
7,23,1
16,25,2
7,27,1
7,29,2
7,31,1
15,33,1
7,35,0
7,37,1
15,39,2
17,41,1
7,43,2
7,45,0
7,47,1
0
7,1,1
7,3,0
5,5,2
7,7,1
7,9,2
7,11,0
15,13,2
7,15,1
7,17,0
7,19,2
5,21,0
7,23,1
16,25,2
7,27,1
7,29,2
7,31,1
15,33,1
7,35,0
7,37,1
15,39,2
17,41,1
7,43,2
7,45,0
7,47,1
0
7,1,1
7,3,0
5,5,2
7,7,1
7,9,2
7,11,0
15,13,2
7,15,1
7,17,0
7,19,2
5,21,0
7,23,1
16,25,2
7,27,1
7,29,2
7,31,1
15,33,1
7,35,0
7,37,1
15,39,2
17,41,1
7,43,2
7,45,0
7,47,1
0
